日期,场景ID,场景名字,原二级场景ID,原二级场景名字,计划ID,计划名字,单元ID,单元名字,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,曝光新客数,进店新客数,加购新客数,收藏新客数,新客支付金额,新客点击率,新客成交转化率,自然流量转化金额,自然流量曝光量
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987612222,美乐蒂儿童保温杯女孩小学生上学专用水杯2024新款高颜值吸管杯子,835389670591,商品,美乐蒂儿童保温杯女孩小学生上学专用水杯2024新款高颜值吸管杯子,7,1,0.23,0.14286,0.23,32.86,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,2,1,1,1,0,0,0.28571,1,2,0,,0,0.00,0,0,,,7,1,0,0,0.00,0.14286,0,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987604226,316保温杯女新款2024男生水杯子儿童小学生上学专用男孩运动水,745722039090,商品,保温杯女生高颜值新款2023秋冬季男生水杯子儿童学生上学专用水壶,1197,21,6.99,0.01754,0.33,5.84,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,2,2,0,0.09524,0,0,,2,3.50,2,3.50,0,,0,3.50,0,0.00,0,0,0,0,0.00,0,52,20,20,1,0,0,0.04344,32,3,0,,0,0.00,0,0,,,1025,21,2,0,0.00,0.01766,0,1.11,42
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987590238,儿童保温杯吸管水杯食品级316小学生上学专用男孩宝宝幼儿园水壶,680101439600,商品,儿童保温杯吸管水杯食品级316小学生上学专用男孩宝宝幼儿园水壶,739,3,1.26,0.00406,0.42,1.71,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,1,12,3,3,1,0,0,0.01624,9,4,0,,0,0.00,0,0,,,607,3,0,0,0.00,0.00409,0,0.00,15
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987584244,三丽鸥库洛米美乐蒂儿童保温水杯子女生可爱小学生女孩上学专用壶,687794192406,商品,三丽鸥库洛米美乐蒂儿童保温水杯子女生可爱小学生女孩上学专用壶,531,3,0.94,0.00565,0.31,1.77,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,6,3,3,1,0,0,0.0113,3,2,0,,0,0.00,0,0,,,399,3,0,0,0.00,0.00571,0,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71987500461,草莓熊保温杯女生高颜值2024新款迪士尼儿童水杯女孩学生上学专用,746720528548,商品,迪士尼草莓熊保温杯女生高颜值2024新款儿童水杯女孩学生上学专用,481,14,5.33,0.02911,0.38,11.08,0.00,0,0.00,0,0.00,0,0.00,54.52,54.52,1,0,1,0.07143,10.23,5.33,0,0,0,0,0,0,,0,,0,,0,,0,,2,218.90,0,0,0,0,0.00,1,27,13,10,0.76923,0,0,0.05613,14,2,1,1,0,0.00,0,1,1,54.52,427,14,0,0,54.52,0.02991,0.07143,27.59,411
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71984406798,库洛米保温杯双饮高颜值儿童水杯子女孩三丽鸥小学生上学专用水壶,754716553690,商品,库洛米保温杯双饮高颜值儿童水杯子女孩三丽鸥小学生上学专用水壶,301,11,3.46,0.03654,0.31,11.50,0.00,0,0.00,0,0.00,0,94.90,0.00,94.90,1,1,0,0.09091,27.43,3.46,1,1,0,0.09091,0,0,,1,3.46,1,3.46,0,,0,3.46,1,199.00,0,0,0,0,0.00,1,12,9,8,0.88889,0,0,0.03987,1,1,1,1,0,0.00,0,1,1,94.90,267,9,1,0,94.90,0.03741,0.09091,57.58,440
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71974418502,奥特曼儿童保温杯男孩上学专用水杯食品级316吸管杯子小学生水壶,734026130792,商品,奥特曼儿童保温杯男孩上学专用水杯食品级316吸管杯子小学生水壶,283,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,232,0,0,0,0.00,0,,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71974412514,蜡笔小新儿童保温杯女孩水杯2024新款杯子小学生上学专用女童水壶,817810435075,商品,蜡笔小新儿童保温杯女孩水杯2024新款杯子小学生上学专用女童水壶,67,2,0.80,0.02985,0.40,11.94,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,2,2,2,1,0,0,0.02985,0,1,0,,0,0.00,0,0,,,43,2,0,0,0.00,0.03077,0,0.35,3
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71974388598,儿童保温杯男孩食品级316吸管水杯女孩宝宝可爱学生上学专用水壶,752527583843,商品,儿童保温杯男孩食品级316吸管水杯女孩宝宝可爱学生上学专用水壶,16,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,13,0,0,0,0.00,0,,0.00,0
2024-09-30,371,关键词推广,371,关键词推广,71851053263,儿童保温杯动销_927,71974366646,密码锁儿童保温杯女孩上学专用小学生指纹水杯幼儿园宝宝吸管杯子,829361518109,商品,密码锁儿童保温杯女孩上学专用小学生指纹水杯幼儿园宝宝吸管杯子,72,8,3.04,0.11111,0.38,42.22,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,2,2,0,0.25,0,0,,2,1.52,2,1.52,0,,0,1.52,0,0.00,0,0,0,0,0.00,0,11,7,7,1,0,0,0.15278,2,2,0,,0,0.00,0,0,,,64,7,2,0,0.00,0.11594,0,9.05,436
